id,lat,lon,E,N
409,6.52519684,-73.93976017,617225.5110671462,721384.8053356996
410,6.5244716,-73.93976017,617225.6796957038,721304.6206662825
411,6.52374636,-73.93976017,617225.8483055945,721224.4359990875
412,6.52302112,-73.93976017,617226.0168968185,721144.2513341149
413,6.52229588,-73.93976017,617226.1854693758,721064.066671364
414,6.52157064,-73.93976017,617226.3540232661,720983.8820108348
415,6.5208454,-73.93976017,617226.5225584896,720903.6973525267
416,6.52012016,-73.93976017,617226.6910750462,720823.51269644
417,6.51939492,-73.93976017,617226.8595729358,720743.3280425741
418,6.51866968,-73.93976017,617227.0280521585,720663.1433909289
419,6.51794444,-73.93976017,617227.1965127143,720582.9587415039
420,6.5172192,-73.93976017,617227.3649546029,720502.7740942992
