id,lat,lon,E,N
139,6.54641011,-73.93549938,617691.6982421193,723731.2039432722
140,6.54641011,-73.93477414,617771.8901806178,723731.3738803549
141,6.54641011,-73.9340489,617852.082137626,723731.5439332423
142,6.54641011,-73.93332366,617932.274113151,723731.7141019343
143,6.54641011,-73.93259842,618012.4661072082,723731.884386431
144,6.54641011,-73.93187318,618092.6581198114,723732.0547867328
145,6.54641011,-73.93114794,618172.8501509721,723732.2253028394
146,6.54641011,-73.9304227,618253.0422007027,723732.3959347511
147,6.54641011,-73.92969746,618333.2342690144,723732.5666824683
148,6.54641011,-73.92897222,618413.4263559214,723732.737545991
149,6.54641011,-73.92824698,618493.618461439,723732.9085253191
150,6.54641011,-73.92752174,618573.8105855741,723733.0796204528
151,6.54641011,-73.9267965,618654.0027283437,723733.2508313925
152,6.54641011,-73.92607126,618734.1948897574,723733.4221581381
153,6.54641011,-73.92534602,618814.3870698309,723733.59360069
154,6.54641011,-73.92462078,618894.5792685752,723733.7651590479
155,6.54641011,-73.92389554,618974.7714860013,723733.9368332125
156,6.54641011,-73.9231703,619054.9637221266,723734.1086231834
157,6.54641011,-73.92244506,619135.1559769575,723734.280528961
158,6.54641011,-73.92171982,619215.3482505097,723734.4525505455
159,6.54641011,-73.92099458,619295.5405427971,723734.6246879367
160,6.54641011,-73.92026934,619375.7328538311,723734.7969411352
161,6.54641011,-73.9195441,619455.9251836241,723734.9693101409
162,6.54641011,-73.91881886,619536.1175321874,723735.1417949538
163,6.54641011,-73.91809362,619616.3098995364,723735.3143955745
164,6.54641011,-73.91736838,619696.5022856822,723735.4871120024
165,6.54641011,-73.91664314,619776.6946906364,723735.6599442385
166,6.54641011,-73.9159179,619856.8871144138,723735.8328922823
167,6.54641011,-73.91519266,619937.0795570246,723736.0059561342
168,6.54641011,-73.91446742,620017.2720184857,723736.179135794
169,6.54641011,-73.91374218,620097.4644988037,723736.3524312625
170,6.54641011,-73.91301694,620177.6569979944,723736.5258425394
171,6.54641011,-73.9122917,620257.849516073,723736.6993696247
172,6.54641011,-73.91156646,620338.0420530466,723736.8730125189
173,6.54641011,-73.91084122,620418.2346089319,723737.0467712219
174,6.54641011,-73.91011598,620498.4271837389,723737.220645734
175,6.54641011,-73.90939074,620578.6197774827,723737.3946360551
176,6.54641011,-73.9086655,620658.8123901748,723737.5687421856
177,6.54641011,-73.90794026,620739.0050218264,723737.7429641255
178,6.54641011,-73.90721502,620819.197672454,723737.9173018752
179,6.54641011,-73.90648978,620899.390342065,723738.0917554343
180,6.54641011,-73.90576454,620979.5830306745,723738.2663248032
181,6.54641011,-73.9050393,621059.7757382967,723738.4410099821
182,6.54641011,-73.90431406,621139.9684649426,723738.6158109715
183,6.54641011,-73.90358882,621220.1612106251,723738.7907277709
184,6.54641011,-73.90286358,621300.3539753553,723738.9657603807
185,6.54641011,-73.90213834,621380.5467591484,723739.140908801
186,6.54641011,-73.9014131,621460.7395620157,723739.316173032
187,6.54641011,-73.90068786,621540.9323839687,723739.4915530739
188,6.54641011,-73.89996262,621621.1252250226,723739.6670489268
189,6.544687665,-73.9449275,616649.604519923,723538.5668693974
190,6.544687665,-73.94420226,616729.7964939524,723538.7352574882
191,6.544687665,-73.94347702,616809.9884863223,723538.9037613517
192,6.544687665,-73.94275178,616890.1804970497,723539.0723809882
193,6.544687665,-73.94202654,616970.3725261455,723539.2411163975
194,6.544687665,-73.9413013,617050.5645736213,723539.4099675801
195,6.544687665,-73.94057606,617130.7566394921,723539.5789345361
196,6.544687665,-73.93985082,617210.948723768,723539.7480172657
197,6.544687665,-73.93912558,617291.1408264657,723539.9172157685
198,6.544687665,-73.93840034,617371.3329475923,723540.0865300453
199,6.544687665,-73.9376751,617451.525087163,723540.255960096
200,6.544687665,-73.93694986,617531.7172451918,723540.4255059207
201,6.544687665,-73.93622462,617611.9094216902,723540.5951675194
202,6.544687665,-73.93549938,617692.1016166706,723540.7649448925
203,6.544687665,-73.93477414,617772.2938301443,723540.93483804
204,6.544687665,-73.9340489,617852.486062128,723541.1048469619
205,6.544687665,-73.93332366,617932.6783126289,723541.2749716587
206,6.544687665,-73.93259842,618012.870581662,723541.4452121302
207,6.544687665,-73.93187318,618093.0628692418,723541.6155683766
208,6.544687665,-73.93114794,618173.2551753792,723541.7860403982
209,6.544687665,-73.9304227,618253.4475000869,723541.956628195
210,6.544687665,-73.92969746,618333.6398433761,723542.127331767
211,6.544687665,-73.92897222,618413.8322052609,723542.2981511146
212,6.544687665,-73.92824698,618494.0245857565,723542.4690862378
213,6.544687665,-73.92752174,618574.2169848699,723542.6401371368
214,6.544687665,-73.9267965,618654.4094026183,723542.8113038118
215,6.544687665,-73.92607126,618734.6018390111,723542.9825862627
216,6.544687665,-73.92534602,618814.7942940638,723543.1539844901
217,6.544687665,-73.92462078,618894.9867677877,723543.3254984935
218,6.544687665,-73.92389554,618975.1792601941,723543.4971282732
219,6.544687665,-73.9231703,619055.3717712995,723543.6688738299
220,6.544687665,-73.92244506,619135.5643011112,723543.8407351632
221,6.544687665,-73.92171982,619215.7568496444,723544.0127122732
222,6.544687665,-73.92099458,619295.9494169131,723544.1848051603
223,6.544687665,-73.92026934,619376.1420029288,723544.3570138246
224,6.544687665,-73.9195441,619456.3346077036,723544.5293382659
225,6.544687665,-73.91881886,619536.5272312493,723544.701778485
