id,x_survey,y_survey,E,N,lon,lat
R_15_259,4419.4173824159225,12705.553988180234,828573.4993821211,488613.4366447924,-72.03977596434504,4.414636342935174
R_15_260,4419.4173824159225,12754.610181184791,828573.4993821211,488662.4928377969,-72.03977420660226,4.415079547151601
R_15_261,4419.4173824159225,12803.666374189348,828573.4993821211,488711.5490308015,-72.03977244868128,4.415522751362044
R_15_262,4419.4173824159225,12852.722567193905,828573.4993821211,488760.60522380605,-72.03977069058212,4.415965955566505
R_15_263,4419.4173824159225,12901.778760198462,828573.4993821211,488809.6614168106,-72.03976893230474,4.416409159764979
R_15_264,4419.4173824159225,12950.834953203019,828573.4993821211,488858.7176098152,-72.03976717384919,4.416852363957469
R_15_265,4419.4173824159225,12999.891146207576,828573.4993821211,488907.7738028197,-72.03976541521543,4.417295568143973
R_15_266,4419.4173824159225,13048.947339212133,828573.4993821211,488956.82999582426,-72.03976365640347,4.417738772324491
R_15_267,4419.4173824159225,13098.00353221669,828573.4993821211,489005.88618882885,-72.03976189741331,4.418181976499023
R_15_268,4419.4173824159225,13147.059725221246,828573.4993821211,489054.9423818334,-72.03976013824496,4.418625180667567
R_15_269,4419.4173824159225,13196.115918225803,828573.4993821211,489103.9985748379,-72.0397583788984,4.4190683848301235
R_15_270,4419.4173824159225,13245.17211123036,828573.4993821211,489153.0547678425,-72.03975661937365,4.4195115889866905
R_15_271,4419.4173824159225,13294.228304234917,828573.4993821211,489202.11096084706,-72.03975485967071,4.4199547931372685
R_15_272,4419.4173824159225,13343.284497239474,828573.4993821211,489251.1671538516,-72.03975309978955,4.420397997281857
R_15_273,4419.4173824159225,13392.340690244031,828573.4993821211,489300.2233468562,-72.03975133973019,4.420841201420454
R_15_274,4419.4173824159225,13441.396883248588,828573.4993821211,489349.2795398607,-72.03974957949264,4.421284405553063
R_15_275,4419.4173824159225,13490.453076253145,828573.4993821211,489398.33573286526,-72.03974781907688,4.421727609679677
R_15_276,4419.4173824159225,13539.509269257702,828573.4993821211,489447.39192586986,-72.03974605848292,4.422170813800301
R_15_277,4419.4173824159225,13588.565462262259,828573.4993821211,489496.4481188744,-72.03974429771075,4.422614017914933
R_15_278,4419.4173824159225,13637.621655266816,828573.4993821211,489545.50431187893,-72.03974253676039,4.423057222023569
R_15_279,4419.4173824159225,13686.677848271373,828573.4993821211,489594.5605048835,-72.03974077563181,4.423500426126212
R_15_280,4419.4173824159225,13735.73404127593,828573.4993821211,489643.61669788806,-72.03973901432504,4.423943630222861
R_15_281,4419.4173824159225,13784.790234280486,828573.4993821211,489692.6728908926,-72.03973725284006,4.4243868343135135
R_15_282,4419.4173824159225,13833.846427285043,828573.4993821211,489741.7290838972,-72.03973549117687,4.424830038398173
R_15_283,4419.4173824159225,13882.9026202896,828573.4993821211,489790.78527690173,-72.03973372933547,4.425273242476834
R_15_284,4419.4173824159225,13931.958813294157,828573.4993821211,489839.84146990627,-72.03973196731586,4.425716446549498
R_15_285,4419.4173824159225,13981.015006298714,828573.4993821211,489888.89766291087,-72.03973020511805,4.426159650616166
R_15_286,4419.4173824159225,14030.071199303271,828573.4993821211,489937.9538559154,-72.03972844274205,4.426602854676833
