id,E,N,lon,lat
306,620980.412219607,723357.3846887829,-73.90576454,6.542965220000001
307,621060.6054771342,723357.5592836353,-73.9050393,6.54296522
308,621140.7987536859,723357.733994238,-73.90431406,6.542965220000001
309,621220.9920492747,723357.9088205912,-73.90358882,6.542965220000001
310,621301.1853639118,723358.0837626946,-73.90286358,6.54296522
311,621381.3786976127,723358.2588205489,-73.90213834,6.54296522
312,621461.5720503884,723358.433994154,-73.9014131,6.542965220000001
313,621541.7654222504,723358.60928351,-73.90068786,6.542965220000001
314,621621.9588132139,723358.7846886172,-73.89996262,6.542965220000001
315,616650.4038054051,723157.6900472405,-73.9449275,6.541242775
316,616730.5963291604,723157.8583482368,-73.94420226,6.541242774999999
317,616810.7888712568,723158.0267649463,-73.94347702,6.541242775
318,616890.9814317112,723158.1952973686,-73.94275178,6.541242774999999
319,616971.1740105348,723158.3639455043,-73.94202654,6.541242775
320,617051.3666077389,723158.532709353,-73.9413013,6.541242774999999
321,617131.5592233387,723158.7015889154,-73.94057606,6.541242774999998
322,617211.7518573443,723158.8705841914,-73.93985082,6.541242775
323,617291.9445097721,723159.0396951811,-73.93912558,6.541242775
324,617372.1371806297,723159.2089218845,-73.93840034,6.541242774999998
325,617452.3298699318,723159.378264302,-73.9376751,6.541242774999998
326,617532.522577693,723159.5477224337,-73.93694986,6.541242775000001
327,617612.7153039242,723159.7172962795,-73.93622462,6.541242775
328,617692.9080486381,723159.8869858399,-73.93549938,6.541242775000001
329,617773.1008118459,723160.0567911145,-73.93477414,6.541242774999998
330,617853.2935935644,723160.226712104,-73.9340489,6.541242774999999
331,617933.4863938006,723160.3967488082,-73.93332366,6.541242774999999
332,618013.67921257,723160.5669012275,-73.93259842,6.541242775
333,618093.8720498864,723160.7371693617,-73.93187318,6.541242774999999
334,618174.0649057612,723160.9075532111,-73.93114794,6.541242774999999
335,618254.2577802069,723161.0780527759,-73.9304227,6.541242774999999
336,618334.4506732346,723161.2486680562,-73.92969746,6.541242774999999
337,618414.6435848587,723161.4193990522,-73.92897222,6.541242774999999
338,618494.8365150943,723161.5902457639,-73.92824698,6.541242774999999
339,618575.0294639484,723161.7612081913,-73.92752174,6.541242775
340,618655.2224314379,723161.9322863349,-73.9267965,6.541242775
341,618735.4154175726,723162.1034801947,-73.92607126,6.541242774999999
342,618815.608422368,723162.2747897707,-73.92534602,6.541242775000001
343,618895.801445835,723162.4462150631,-73.92462078,6.541242774999999
344,618975.9944879852,723162.6177560722,-73.92389554,6.541242774999998
345,619056.1875488351,723162.789412798,-73.9231703,6.541242775000001
346,619136.3806283919,723162.9611852405,-73.92244506,6.541242775000001
347,619216.5737266708,723163.1330734002,-73.92171982,6.5412427750000015
348,619296.766843686,723163.3050772767,-73.92099458,6.541242774999998
349,619376.9599794488,723163.4771968708,-73.92026934,6.541242775
350,619457.1531339715,723163.649432182,-73.9195441,6.541242774999998
351,619537.3463072656,723163.821783211,-73.91881886,6.541242775
352,619617.5394993462,723163.9942499575,-73.91809362000001,6.541242774999999
353,619697.7327102248,723164.1668324218,-73.91736838,6.541242775
354,619777.9259399124,723164.3395306042,-73.91664314,6.541242775
355,619858.1191884245,723164.5123445045,-73.9159179,6.541242775
356,619938.312455771,723164.6852741231,-73.91519266000002,6.541242775000001
357,620018.5057419685,723164.85831946,-73.91446742,6.541242774999999
358,620098.6990470244,723165.0314805155,-73.91374218,6.541242774999999
359,620178.8923709535,723165.2047572896,-73.91301694,6.541242775
360,620259.0857137716,723165.3781497824,-73.9122917,6.541242774999999
